ID,Title,"Post Type",district_code,province_id
1388,"Huyện Nam Giang",district,,372
1389,"Huyện Phước Sơn",district,,372
1390,"Huyện Hiệp Đức",district,,372
1391,"Huyện Thăng Bình",district,,372
1392,"Huyện Tiên Phước",district,,372
1393,"Huyện Bắc Trà My",district,,372
1394,"Huyện Nam Trà My",district,,372
1395,"Huyện Núi Thành",district,,372
1396,"Huyện Nông Sơn",district,,372
1397,"Quảng Ngãi",district,,373
1398,"Huyện Bình Sơn",district,,373
1399,"Huyện Trà Bồng",district,,373
1400,"Huyện Tây Trà",district,,373
1401,"Huyện Sơn Tịnh",district,,373
1402,"Huyện Tư Nghĩa",district,,373
1403,"Huyện Sơn Hà",district,,373
1404,"Huyện Sơn Tây",district,,373
1405,"Huyện Minh Long",district,,373
1406,"Huyện Nghĩa Hành",district,,373
1407,"Huyện Mộ Đức",district,,373
1408,"Huyện Đức Phổ",district,,373
1409,"Huyện Ba Tơ",district,,373
1410,"Huyện Lý Sơn",district,,373
1411,"Qui Nhơn",district,,380
1412,"Huyện Hoài Nhơn",district,,380
1413,"Huyện Hoài Ân",district,,380
1414,"Huyện Phù Mỹ",district,,380
1415,"Huyện Vĩnh Thạnh",district,,382
1416,"Huyện Tây Sơn",district,,380
1417,"Huyện Phù Cát",district,,380
1418,"Thị xã An Nhơn",district,,380
1419,"Huyện Tuy Phước",district,,380
1420,"Huyện Vân Canh",district,,380
1421,"Tuy Hoà",district,,395
1422,"Thị xã Sông Cầu",district,,395
1423,"Huyện Đồng Xuân",district,,395
1424,"Huyện Tuy An",district,,395
1425,"Huyện Sơn Hòa",district,,395
1426,"Huyện Sông Hinh",district,,395
1427,"Huyện Tây Hoà",district,,395
1428,"Huyện Phú Hoà",district,,395
1429,"Huyện Đông Hòa",district,,395
1430,"Nha Trang",district,,387
1431,"Cam Ranh",district,,387
1432,"Huyện Cam Lâm",district,,387
1433,"Huyện Vạn Ninh",district,,387
1434,"Thị xã Ninh Hòa",district,,387
1435,"Huyện Khánh Vĩnh",district,,387
1436,"Huyện Diên Khánh",district,,387
1437,"Huyện Khánh Sơn",district,,387
1438,"Huyện Trường Sa",district,,387
