"ID","Title","Post Type","district_code","province_id"
"1306","Huyện Hậu Lộc","district","00290","384"
"1307","Huyện Nga Sơn","district","00291","384"
"1308","Huyện Như Xuân","district","00292","384"
"1309","Huyện Như Thanh","district","00293","384"
"1310","Huyện Nông Cống","district","00294","384"
"1311","Huyện Đông Sơn","district","00295","384"
"1312","Huyện Quảng Xương","district","00296","384"
"1313","Huyện Tĩnh Gia","district","00297","384"
"1314","TP Vinh","district","00298","391"
"1315","Thị xã Cửa Lò","district","00299","391"
"1316","Thị xã Thái Hoà","district","00300","391"
"1317","Huyện Quế Phong","district","00301","391"
"1318","Huyện Quỳ Châu","district","00302","391"
"1319","Huyện Tương Dương","district","00303","391"
"1320","Huyện Nghĩa Đàn","district","00304","391"
"1321","Huyện Quỳ Hợp","district","00305","391"
"1322","Huyện Quỳnh Lưu","district","00306","391"
"1323","Huyện Con Cuông","district","00307","391"
"1324","Huyện Tân Kỳ","district","00308","391"
"1325","Huyện Anh Sơn","district","00309","391"
"1326","Huyện Diễn Châu","district","00310","391"
"1327","Huyện Yên Thành","district","00311","391"
"1328","Huyện Đô Lương","district","00312","391"
"1329","Huyện Thanh Chương","district","00313","391"
"1330","Huyện Nghi Lộc","district","00314","391"
"1331","Huyện Nam Đàn","district","00315","391"
"1332","Huyện Hưng Nguyên","district","00316","391"
"1333","Thị xã Hoàng Mai","district","00317","391"
"1334","TP Hà Tĩnh","district","00318","385"
"1335","Thị xã Hồng Lĩnh","district","00319","385"
"1336","Huyện Hương Sơn","district","00320","385"
"1337","Huyện Đức Thọ","district","00321","385"
"1338","Huyện Vũ Quang","district","00322","385"
"1339","Huyện Nghi Xuân","district","00323","385"
"1340","Huyện Can Lộc","district","00324","385"
"1341","Huyện Hương Khê","district","00325","385"
"1342","Huyện Thạch Hà","district","00326","385"
"1343","Huyện Cẩm Xuyên","district","00327","385"
"1344","Huyện Kỳ Anh","district","00328","385"
"1345","Huyện Lộc Hà","district","00329","385"
"1346","Thị xã Kỳ Anh","district","00330","385"
"1347","TP Đồng Hới","district","00331","396"
"1348","Huyện Minh Hóa","district","00332","396"
"1349","Huyện Tuyên Hóa","district","00333","396"
"1350","Huyện Quảng Trạch","district","00334","396"
"1351","Huyện Bố Trạch","district","00335","396"
"1352","Huyện Quảng Ninh","district","00336","396"
"1353","Huyện Lệ Thủy","district","00337","396"
"1354","Thị xã Ba Đồn","district","00338","396"
"1355","TP Đông Hà","district","00339","397"
"1356","Thị xã Quảng Trị","district","00340","397"
"1357","Huyện Vĩnh Linh","district","00341","397"
"1358","Huyện Hướng Hóa","district","00342","397"
"1359","Huyện Gio Linh","district","00343","397"
"1360","Huyện Đa Krông","district","00344","397"
"1361","Huyện Cam Lộ","district","00345","397"
"1362","Huyện Triệu Phong","district","00346","397"
"1363","Huyện Hải Lăng","district","00347","397"
"1364","TP Huế","district","00348","401"
"1365","Huyện Phong Điền","district","00349","382"
"1366","Huyện Quảng Điền","district","00350","401"
"1367","Huyện Phú Vang","district","00351","401"
"1368","Thị xã Hương Thủy","district","00352","401"
"1369","Thị xã Hương Trà","district","00353","401"
"1370","Huyện A Lưới","district","00354","401"
"1371","Huyện Phú Lộc","district","00355","401"
"1372","Huyện Nam Đông","district","00356","401"
"1373","Quận Liên Chiểu","district","00357","408"
"1374","Quận Thanh Khê","district","00358","408"
"1375","Quận Hải Châu","district","00359","408"
"1376","Quận Sơn Trà","district","00360","408"
"1377","Quận Ngũ Hành Sơn","district","00361","408"
"1378","Quận Cẩm Lệ","district","00362","408"
"1379","Huyện Hòa Vang","district","00363","408"
"1380","TP Tam Kỳ","district","00364","372"
"1381","TP Hội An","district","00365","372"
"1382","Huyện Tây Giang","district","00366","372"
"1383","Huyện Đông Giang","district","00367","372"
"1384","Huyện Đại Lộc","district","00368","372"
"1385","Thị xã Điện Bàn","district","00369","372"
"1386","Huyện Duy Xuyên","district","00370","372"
"1387","Huyện Quế Sơn","district","00371","372"
"1388","Huyện Nam Giang","district","00372","372"
"1389","Huyện Phước Sơn","district","00373","372"
"1390","Huyện Hiệp Đức","district","00374","372"
"1391","Huyện Thăng Bình","district","00375","372"
"1392","Huyện Tiên Phước","district","00376","372"
"1393","Huyện Bắc Trà My","district","00377","372"
"1394","Huyện Nam Trà My","district","00378","372"
