"Phường Xã","province_id","district_id"
"Xã Đông Quang","347","1035"
"Xã Tiên Phong","347","1035"
"Xã Thụy An","347","1035"
"Xã Cam Thượng","347","1035"
"Xã Thuần Mỹ","347","1035"
"Xã Tản Lĩnh","347","1035"
"Xã Ba Trại","347","1035"
"Xã Minh Quang","347","1035"
"Xã Ba Vì","347","1035"
"Xã Vân Hòa","347","1035"
"Xã Yên Bài","347","1035"
"Xã Khánh Thượng","347","1035"
"Thị trấn Phúc Thọ","347","1036"
"Xã Vân Hà","347","1036"
"Xã Vân Phúc","347","1036"
"Xã Vân Nam","347","1036"
"Xã Xuân Phú","347","1036"
"Xã Phương Độ","347","1036"
"Xã Sen Chiểu","347","1036"
"Xã Cẩm Đình","347","1036"
"Xã Võng Xuyên","347","1036"
"Xã Thọ Lộc","347","1036"
"Xã Long Xuyên","347","1036"
"Xã Thượng Cốc","347","1036"
"Xã Hát Môn","347","1036"
"Xã Tích Giang","347","1036"
"Xã Thanh Đa","347","1036"
"Xã Trạch Mỹ Lộc","347","1036"
"Xã Phúc Hòa","347","1036"
"Xã Ngọc Tảo","347","1036"
"Xã Phụng Thượng","347","1036"
"Xã Tam Thuấn","347","1036"
"Xã Tam Hiệp","347","1036"
"Xã Hiệp Thuận","347","1036"
"Xã Liên Hiệp","347","1036"
"Thị trấn Phùng","347","1037"
"Xã Trung Châu","347","1037"
"Xã Thọ An","347","1037"
"Xã Thọ Xuân","347","1037"
"Xã Hồng Hà","347","1037"
"Xã Liên Hồng","347","1037"
"Xã Liên Hà","347","1037"
"Xã Hạ Mỗ","347","1037"
"Xã Liên Trung","347","1037"
"Xã Phương Đình","347","1037"
"Xã Thượng Mỗ","347","1037"
"Xã Tân Hội","347","1037"
"Xã Tân Lập","347","1037"
"Xã Đan Phượng","347","1037"
"Xã Đồng Tháp","347","1037"
"Xã Song Phượng","347","1037"
"Thị trấn Trạm Trôi","347","1038"
"Xã Đức Thượng","347","1038"
"Xã Minh Khai","347","1038"
"Xã Dương Liễu","347","1038"
"Xã Di Trạch","347","1038"
"Xã Đức Giang","347","1038"
"Xã Cát Quế","347","1038"
"Xã Kim Chung","347","1038"
"Xã Yên Sở","347","1038"
"Xã Sơn Đồng","347","1038"
