"Quận Huyện","province_id"
"Thị xã Hồng Ngự","407"
"Huyện Tân Hồng","407"
"Huyện Hồng Ngự","407"
"Huyện Tam Nông","407"
"Huyện Tháp Mười","407"
"Huyện Cao Lãnh","407"
"Huyện Thanh Bình","407"
"Huyện Lấp Vò","407"
"Huyện Lai Vung","407"
"Huyện Châu Thành","407"
"Long Xuyên","374"
"Châu Đốc","374"
"Huyện An Phú","374"
"Thị xã Tân Châu","374"
"Huyện Phú Tân","374"
"Huyện Châu Phú","374"
"Huyện Tịnh Biên","374"
"Huyện Tri Tôn","374"
"Huyện Châu Thành","374"
"Huyện Chợ Mới","374"
"Huyện Thoại Sơn","374"
"Rạch Giá","386"
"Thị xã Hà Tiên","386"
"Huyện Kiên Lương","386"
"Huyện Hòn Đất","386"
"Huyện Tân Hiệp","386"
"Huyện Châu Thành","386"
"Huyện Giồng Riềng","386"
"Huyện Gò Quao","386"
"Huyện An Biên","386"
"Huyện An Minh","386"
"Huyện Vĩnh Thuận","386"
"Huyện Phú Quốc","386"
"Huyện Kiên Hải","386"
"Huyện U Minh Thượng","386"
"Huyện Giang Thành","386"
"Quận Ninh Kiều","382"
"Quận Ô Môn","382"
"Quận Bình Thuỷ","382"
"Quận Cái Răng","382"
"Quận Thốt Nốt","382"
"Huyện Vĩnh Thạnh","382"
"Huyện Cờ Đỏ","382"
"Huyện Phong Điền","382"
"Huyện Thới Lai","382"
"Vị Thanh","371"
"Thị xã Ngã Bảy","371"
"Huyện Châu Thành A","371"
"Huyện Châu Thành","371"
"Huyện Phụng Hiệp","371"
"Huyện Vị Thuỷ","371"
"Huyện Long Mỹ","371"
"Thị xã Long Mỹ","371"
"Sóc Trăng","399"
"Huyện Châu Thành","399"
"Huyện Kế Sách","399"
"Huyện Mỹ Tú","399"
"Huyện Cù Lao Dung","399"
"Huyện Long Phú","399"
"Huyện Mỹ Xuyên","399"
"Thị xã Ngã Năm","399"
"Huyện Thạnh Trị","399"
"Thị xã Vĩnh Châu","399"
"Huyện Trần Đề","399"
"Bạc Liêu","376"
"Huyện Hồng Dân","376"
"Huyện Phước Long","376"
"Huyện Vĩnh Lợi","376"
"Thị xã Giá Rai","376"
"Huyện Đông Hải","376"
"Huyện Hoà Bình","376"
"Cà Mau","381"
"Huyện U Minh","381"
"Huyện Thới Bình","381"
"Huyện Trần Văn Thời","381"
"Huyện Cái Nước","381"
"Huyện Đầm Dơi","381"
"Huyện Năm Căn","381"
"Huyện Phú Tân","381"
"Huyện Ngọc Hiển","381"
